freq_hz,diff_nette_dB
722.168,-0.0759
723.633,-0.0945
725.098,-0.0967
726.562,-0.0820
728.027,-0.0691
729.492,-0.0678
730.957,-0.0657
732.422,-0.0592
733.887,-0.0670
735.352,-0.0674
736.816,-0.0637
738.281,-0.0634
739.746,-0.0580
741.211,-0.0725
742.676,-0.0817
744.141,-0.0797
745.605,-0.0790
747.070,-0.0790
748.535,-0.0798
750.000,-0.0829
751.465,-0.0837
752.930,-0.0781
754.395,-0.0737
755.859,-0.0841
757.324,-0.0867
758.789,-0.0927
760.254,-0.0901
761.719,-0.0976
763.184,-0.0838
764.648,-0.0694
766.113,-0.0886
767.578,-0.0929
769.043,-0.0830
770.508,-0.0946
771.973,-0.0936
773.438,-0.0832
774.902,-0.0803
776.367,-0.0609
777.832,-0.0805
779.297,-0.0858
780.762,-0.0733
782.227,-0.0684
783.691,-0.0838
785.156,-0.0660
786.621,-0.0978
788.086,-0.0922
789.551,-0.0783
791.016,-0.0915
792.480,-0.0878
793.945,-0.0753
795.410,-0.0879
796.875,-0.0846
798.340,-0.0789
799.805,-0.0763
801.270,-0.0727
802.734,-0.0698
804.199,-0.0755
805.664,-0.0868
807.129,-0.0925
808.594,-0.0844
810.059,-0.0774
811.523,-0.0709
812.988,-0.0660
814.453,-0.0649
815.918,-0.0660
817.383,-0.0754
818.848,-0.0777
820.312,-0.0675
821.777,-0.0635
823.242,-0.0651
824.707,-0.0665
826.172,-0.0653
827.637,-0.0732
829.102,-0.0813
830.566,-0.0814
832.031,-0.0655
833.496,-0.0752
834.961,-0.0766
836.426,-0.0696
837.891,-0.0960
839.355,-0.0991
840.820,-0.0675
842.285,-0.0876
843.750,-0.0788
845.215,-0.0628
846.680,-0.0902
848.145,-0.0706
849.609,-0.0609
851.074,-0.0749
852.539,-0.0767
854.004,-0.0862
855.469,-0.0977
856.934,-0.0745
858.398,-0.0685
859.863,-0.0656
861.328,-0.0764
862.793,-0.0706
864.258,-0.0705
865.723,-0.0863
867.188,-0.0701
868.652,-0.0494
870.117,-0.0596
871.582,-0.0823
873.047,-0.0914
874.512,-0.0865
875.977,-0.0879
877.441,-0.0809
878.906,-0.0723
880.371,-0.0837
881.836,-0.0907
883.301,-0.0807
884.766,-0.0710
886.230,-0.0689
887.695,-0.0639
889.160,-0.0697
890.625,-0.0804
892.090,-0.0845
893.555,-0.0873
895.020,-0.0781
896.484,-0.0659
897.949,-0.0599
899.414,-0.0532
900.879,-0.0784
902.344,-0.0739
903.809,-0.0741
905.273,-0.0822
906.738,-0.0700
908.203,-0.0785
909.668,-0.0691
911.133,-0.0758
912.598,-0.0565
914.062,-0.0577
915.527,-0.0605
916.992,-0.0912
918.457,-0.0648
919.922,-0.0889
921.387,-0.0853
922.852,-0.0745
924.316,-0.0717
925.781,-0.0945
927.246,-0.0622
928.711,-0.0772
930.176,-0.0856
931.641,-0.0724
933.105,-0.0571
934.570,-0.0581
936.035,-0.0667
937.500,-0.0598
938.965,-0.0626
940.430,-0.0722
941.895,-0.0704
943.359,-0.0668
944.824,-0.0762
946.289,-0.0728
947.754,-0.0672
949.219,-0.0787
950.684,-0.0791
952.148,-0.0707
953.613,-0.0723
955.078,-0.0807
956.543,-0.0849
958.008,-0.0820
959.473,-0.0685
960.938,-0.0630
962.402,-0.0764
963.867,-0.0869
965.332,-0.0820
966.797,-0.0757
968.262,-0.0843
969.727,-0.0826
971.191,-0.0677
972.656,-0.0566
974.121,-0.0738
975.586,-0.0635
977.051,-0.0709
978.516,-0.0781
979.980,-0.0671
981.445,-0.0929
982.910,-0.0978
984.375,-0.0746
985.840,-0.0612
987.305,-0.0574
988.770,-0.0913
990.234,-0.0843
991.699,-0.0828
993.164,-0.0751
994.629,-0.0735
996.094,-0.0670
997.559,-0.0924
999.023,-0.0773
1000.488,-0.0740
1001.953,-0.0900
1003.418,-0.0739
1004.883,-0.0790
1006.348,-0.0715
1007.812,-0.0587
1009.277,-0.0655
1010.742,-0.0674
1012.207,-0.0772
1013.672,-0.0829
1015.137,-0.0884
1016.602,-0.0732
1018.066,-0.0668
1019.531,-0.0733
1020.996,-0.0781
1022.461,-0.0743
1023.926,-0.0650
1025.391,-0.0763
1026.855,-0.0857
1028.320,-0.0934
1029.785,-0.0996
1031.250,-0.0892
1032.715,-0.0761
1034.180,-0.0754
1035.645,-0.0768
1037.109,-0.0733
1038.574,-0.0755
1040.039,-0.0780
1041.504,-0.0755
1042.969,-0.0825
1044.434,-0.0870
1045.898,-0.0738
1047.363,-0.0702
1048.828,-0.0876
1050.293,-0.0964
1051.758,-0.0919
1053.223,-0.0761
1054.688,-0.0678
1056.152,-0.0815
1057.617,-0.0762
1059.082,-0.0717
1060.547,-0.0907
1062.012,-0.0770
1063.477,-0.0697
1064.941,-0.0565
1066.406,-0.0610
1067.871,-0.0731
1069.336,-0.0744
1070.801,-0.0841
1072.266,-0.0653
1073.730,-0.0574
1075.195,-0.0759
1076.660,-0.0915
1078.125,-0.0748
1079.590,-0.0931
1081.055,-0.0841
1082.520,-0.0638
1083.984,-0.0816
1085.449,-0.0951
1086.914,-0.0959
1088.379,-0.0584
1089.844,-0.0514
1091.309,-0.0898
1092.773,-0.0868
1094.238,-0.0684
1095.703,-0.0948
1097.168,-0.0834
1098.633,-0.0800
1100.098,-0.0833
1101.562,-0.0728
1103.027,-0.0819
1104.492,-0.0586
1105.957,-0.0590
1107.422,-0.0807
1108.887,-0.0868
1110.352,-0.0737
1111.816,-0.0664
1113.281,-0.0788
1114.746,-0.0878
1116.211,-0.0863
1117.676,-0.0776
1119.141,-0.0829
1120.605,-0.0894
1122.070,-0.0879
1123.535,-0.0840
1125.000,-0.0849
1126.465,-0.0950
1127.930,-0.1013
1129.395,-0.0830
1130.859,-0.0711
1132.324,-0.0838
1133.789,-0.0837
1135.254,-0.0767
1136.719,-0.0683
1138.184,-0.0779
1139.648,-0.0841
1141.113,-0.0690
1142.578,-0.0614
1144.043,-0.0673
1145.508,-0.0680
1146.973,-0.0527
1148.438,-0.0473
1149.902,-0.0663
1151.367,-0.0929
1152.832,-0.0828
1154.297,-0.0770
1155.762,-0.0780
1157.227,-0.0931
1158.691,-0.0804
1160.156,-0.0646
1161.621,-0.0649
1163.086,-0.0907
1164.551,-0.0826
1166.016,-0.0643
1167.480,-0.0535
1168.945,-0.0460
1170.410,-0.0859
1171.875,-0.0639
1173.340,-0.0628
1174.805,-0.0655
1176.270,-0.0793
1177.734,-0.0923
1179.199,-0.0903
1180.664,-0.0808
1182.129,-0.0617
1183.594,-0.0859
1185.059,-0.0751
1186.523,-0.0734
1187.988,-0.0749
1189.453,-0.0803
1190.918,-0.0672
1192.383,-0.0652
1193.848,-0.0800
1195.312,-0.0841
1196.777,-0.0750
1198.242,-0.0759
1199.707,-0.0990
1201.172,-0.0926
1202.637,-0.0734
1204.102,-0.0718
1205.566,-0.0668
1207.031,-0.0669
1208.496,-0.0768
1209.961,-0.0850
1211.426,-0.0883
1212.891,-0.0795
1214.355,-0.0783
1215.820,-0.0919
1217.285,-0.0866
1218.750,-0.0714
1220.215,-0.0670
1221.680,-0.0767
1223.145,-0.0848
1224.609,-0.0713
1226.074,-0.0645
1227.539,-0.0732
1229.004,-0.0640
1230.469,-0.0610
1231.934,-0.0753
1233.398,-0.0706
1234.863,-0.0686
1236.328,-0.0754
1237.793,-0.0743
1239.258,-0.0799
1240.723,-0.0851
1242.188,-0.0885
1243.652,-0.0543
1245.117,-0.0605
1246.582,-0.0746
1248.047,-0.0835
1249.512,-0.0809
1250.977,-0.0616
1252.441,-0.0823
1253.906,-0.0758
1255.371,-0.0535
1256.836,-0.0638
1258.301,-0.1156
1259.766,-0.1252
1261.230,-0.0984
1262.695,-0.0826
1264.160,-0.0992
1265.625,-0.1126
1267.090,-0.0803
1268.555,-0.0911
1270.020,-0.0803
