freq_hz,gain_dB,coherence
700.195,-54.6366,0.9999
701.660,-54.6312,0.9999
703.125,-54.6383,0.9999
704.590,-54.6424,0.9999
706.055,-54.6496,0.9998
707.520,-54.6466,0.9998
708.984,-54.6484,0.9998
710.449,-54.6438,0.9998
711.914,-54.6371,0.9998
713.379,-54.6335,0.9998
714.844,-54.6250,0.9998
716.309,-54.6222,0.9997
717.773,-54.6169,0.9995
719.238,-54.6205,0.9982
720.703,-54.5778,0.9992
722.168,-54.5858,0.9997
723.633,-54.5797,0.9998
725.098,-54.5584,0.9998
726.562,-54.5739,0.9998
728.027,-54.5737,0.9998
729.492,-54.5742,0.9998
730.957,-54.5789,0.9998
732.422,-54.5919,0.9999
733.887,-54.5911,0.9999
735.352,-54.5911,0.9999
736.816,-54.5949,0.9999
738.281,-54.5979,0.9999
739.746,-54.5918,0.9999
741.211,-54.5842,0.9999
742.676,-54.5860,0.9999
744.141,-54.5949,0.9999
745.605,-54.6038,0.9999
747.070,-54.6070,0.9999
748.535,-54.6105,0.9999
750.000,-54.6141,0.9999
751.465,-54.6148,0.9999
752.930,-54.6172,0.9999
754.395,-54.6276,0.9999
755.859,-54.6315,0.9999
757.324,-54.6292,0.9999
758.789,-54.6273,0.9999
760.254,-54.6260,0.9999
761.719,-54.6252,0.9999
763.184,-54.6315,0.9999
764.648,-54.6380,0.9999
766.113,-54.6235,0.9998
767.578,-54.6348,0.9998
769.043,-54.6476,0.9998
770.508,-54.6237,0.9997
771.973,-54.6339,0.9998
773.438,-54.6363,0.9998
774.902,-54.6231,0.9998
776.367,-54.6283,0.9998
777.832,-54.6110,0.9997
779.297,-54.6054,0.9995
780.762,-54.6069,0.9995
782.227,-54.5883,0.9998
783.691,-54.5820,0.9998
785.156,-54.5882,0.9998
786.621,-54.5714,0.9998
788.086,-54.5743,0.9998
789.551,-54.5817,0.9998
791.016,-54.5673,0.9999
792.480,-54.5623,0.9998
793.945,-54.5714,0.9998
795.410,-54.5683,0.9999
796.875,-54.5758,0.9999
798.340,-54.5723,0.9999
799.805,-54.5750,0.9999
801.270,-54.5841,0.9999
802.734,-54.5949,0.9999
804.199,-54.5926,0.9999
805.664,-54.5876,0.9999
807.129,-54.5891,0.9999
808.594,-54.5963,0.9999
810.059,-54.5994,0.9999
811.523,-54.6054,0.9999
812.988,-54.6149,0.9999
814.453,-54.6207,0.9999
815.918,-54.6216,0.9999
817.383,-54.6186,0.9999
818.848,-54.6205,0.9999
820.312,-54.6276,0.9999
821.777,-54.6321,0.9999
823.242,-54.6340,0.9999
824.707,-54.6354,0.9999
826.172,-54.6401,0.9999
827.637,-54.6445,0.9999
829.102,-54.6438,0.9998
830.566,-54.6457,0.9999
832.031,-54.6500,0.9999
833.496,-54.6287,0.9998
834.961,-54.6323,0.9998
836.426,-54.6463,0.9998
837.891,-54.6230,0.9997
839.355,-54.6251,0.9993
840.820,-54.6290,0.9994
842.285,-54.6091,0.9997
843.750,-54.6069,0.9997
845.215,-54.6172,0.9997
846.680,-54.5955,0.9997
848.145,-54.5945,0.9997
849.609,-54.5997,0.9997
851.074,-54.5877,0.9998
852.539,-54.5813,0.9998
854.004,-54.5670,0.9998
855.469,-54.5679,0.9998
856.934,-54.5790,0.9998
858.398,-54.5800,0.9998
859.863,-54.5869,0.9998
861.328,-54.5719,0.9999
862.793,-54.5755,0.9999
864.258,-54.5790,0.9999
865.723,-54.5777,0.9999
867.188,-54.5921,0.9999
868.652,-54.6059,0.9999
870.117,-54.5951,0.9999
871.582,-54.5776,0.9999
873.047,-54.5786,0.9999
874.512,-54.5894,0.9999
875.977,-54.5914,0.9999
