freq_hz,gain_dB,coherence
588.867,-54.6931,0.9999
590.332,-54.7036,0.9999
591.797,-54.7074,0.9999
593.262,-54.7119,0.9999
594.727,-54.7079,0.9999
596.191,-54.7056,0.9999
597.656,-54.7120,0.9997
599.121,-54.7009,0.9985
600.586,-54.7210,0.9991
602.051,-54.7196,0.9998
603.516,-54.7126,0.9998
604.980,-54.7278,0.9998
606.445,-54.7106,0.9997
607.910,-54.7021,0.9997
609.375,-54.6843,0.9997
610.840,-54.6786,0.9997
612.305,-54.6633,0.9998
613.770,-54.6607,0.9998
615.234,-54.6646,0.9998
616.699,-54.6622,0.9998
618.164,-54.6645,0.9998
619.629,-54.6695,0.9998
621.094,-54.6554,0.9999
622.559,-54.6531,0.9999
624.023,-54.6587,0.9999
625.488,-54.6658,0.9999
626.953,-54.6595,0.9999
628.418,-54.6641,0.9999
629.883,-54.6752,0.9999
631.348,-54.6721,0.9999
632.812,-54.6686,0.9999
634.277,-54.6708,0.9999
635.742,-54.6784,0.9999
637.207,-54.6932,0.9999
638.672,-54.7055,0.9999
640.137,-54.7095,0.9999
641.602,-54.7073,0.9999
643.066,-54.7101,0.9999
644.531,-54.7165,0.9999
645.996,-54.7227,0.9999
647.461,-54.7245,0.9999
648.926,-54.7287,0.9998
650.391,-54.7160,0.9998
651.855,-54.7127,0.9998
653.320,-54.7079,0.9998
654.785,-54.7175,0.9998
656.250,-54.7185,0.9998
657.715,-54.6884,0.9997
659.180,-54.6881,0.9995
660.645,-54.6862,0.9995
662.109,-54.6872,0.9997
663.574,-54.6823,0.9998
665.039,-54.6818,0.9998
666.504,-54.6576,0.9998
667.969,-54.6600,0.9998
669.434,-54.6619,0.9998
670.898,-54.6588,0.9998
672.363,-54.6493,0.9999
673.828,-54.6506,0.9999
675.293,-54.6419,0.9999
676.758,-54.6457,0.9999
678.223,-54.6587,0.9999
679.688,-54.6601,0.9999
681.152,-54.6596,0.9999
682.617,-54.6692,0.9999
684.082,-54.6756,0.9999
685.547,-54.6698,0.9999
687.012,-54.6726,0.9999
688.477,-54.6826,0.9999
689.941,-54.6882,0.9999
691.406,-54.6916,0.9999
692.871,-54.6973,0.9999
694.336,-54.7040,0.9999
695.801,-54.7039,0.9999
697.266,-54.7024,0.9999
698.730,-54.7049,0.9999
700.195,-54.7139,0.9999
701.660,-54.7275,0.9999
703.125,-54.7228,0.9999
704.590,-54.7223,0.9999
706.055,-54.7298,0.9998
707.520,-54.7223,0.9998
708.984,-54.7085,0.9998
710.449,-54.7184,0.9998
711.914,-54.7244,0.9997
713.379,-54.7089,0.9997
714.844,-54.7159,0.9997
