freq_hz,diff_nette_dB
654.785,-0.0709
656.250,-0.0713
657.715,-0.0719
659.180,-0.0725
660.645,-0.0732
662.109,-0.0740
663.574,-0.0748
665.039,-0.0753
666.504,-0.0759
667.969,-0.0764
669.434,-0.0767
670.898,-0.0768
672.363,-0.0769
673.828,-0.0768
675.293,-0.0767
676.758,-0.0765
678.223,-0.0763
679.688,-0.0761
681.152,-0.0757
682.617,-0.0754
684.082,-0.0752
685.547,-0.0747
687.012,-0.0744
688.477,-0.0741
689.941,-0.0738
691.406,-0.0734
692.871,-0.0731
694.336,-0.0726
695.801,-0.0724
697.266,-0.0721
698.730,-0.0717
700.195,-0.0715
701.660,-0.0711
703.125,-0.0710
704.590,-0.0709
706.055,-0.0709
707.520,-0.0708
708.984,-0.0709
710.449,-0.0711
711.914,-0.0714
713.379,-0.0719
714.844,-0.0724
716.309,-0.0729
717.773,-0.0736
719.238,-0.0742
720.703,-0.0750
722.168,-0.0756
723.633,-0.0761
725.098,-0.0765
726.562,-0.0766
728.027,-0.0768
729.492,-0.0769
730.957,-0.0769
732.422,-0.0767
733.887,-0.0765
735.352,-0.0764
736.816,-0.0762
738.281,-0.0759
739.746,-0.0755
741.211,-0.0752
742.676,-0.0750
744.141,-0.0747
745.605,-0.0743
747.070,-0.0740
748.535,-0.0737
750.000,-0.0733
751.465,-0.0729
752.930,-0.0726
754.395,-0.0723
755.859,-0.0721
757.324,-0.0718
758.789,-0.0715
760.254,-0.0711
761.719,-0.0709
763.184,-0.0708
764.648,-0.0706
766.113,-0.0705
767.578,-0.0706
769.043,-0.0707
770.508,-0.0707
771.973,-0.0710
773.438,-0.0714
774.902,-0.0718
776.367,-0.0724
777.832,-0.0729
779.297,-0.0736
780.762,-0.0741
782.227,-0.0746
783.691,-0.0751
785.156,-0.0756
786.621,-0.0760
788.086,-0.0763
789.551,-0.0764
791.016,-0.0763
792.480,-0.0764
793.945,-0.0763
795.410,-0.0763
796.875,-0.0760
798.340,-0.0759
799.805,-0.0757
801.270,-0.0755
802.734,-0.0752
804.199,-0.0750
805.664,-0.0746
807.129,-0.0743
808.594,-0.0740
810.059,-0.0737
811.523,-0.0734
812.988,-0.0731
814.453,-0.0728
815.918,-0.0725
817.383,-0.0722
818.848,-0.0720
820.312,-0.0718
821.777,-0.0714
823.242,-0.0712
824.707,-0.0710
826.172,-0.0708
827.637,-0.0707
829.102,-0.0707
830.566,-0.0705
832.031,-0.0705
833.496,-0.0705
834.961,-0.0707
836.426,-0.0707
837.891,-0.0710
839.355,-0.0715
840.820,-0.0717
842.285,-0.0723
843.750,-0.0729
845.215,-0.0734
846.680,-0.0740
848.145,-0.0746
849.609,-0.0751
851.074,-0.0756
852.539,-0.0759
854.004,-0.0762
855.469,-0.0764
856.934,-0.0766
858.398,-0.0767
859.863,-0.0766
861.328,-0.0766
862.793,-0.0765
864.258,-0.0763
865.723,-0.0761
867.188,-0.0760
868.652,-0.0758
870.117,-0.0756
871.582,-0.0753
873.047,-0.0751
874.512,-0.0748
875.977,-0.0746
877.441,-0.0743
878.906,-0.0741
880.371,-0.0738
881.836,-0.0735
883.301,-0.0732
884.766,-0.0730
886.230,-0.0727
887.695,-0.0724
889.160,-0.0721
890.625,-0.0718
892.090,-0.0716
893.555,-0.0714
895.020,-0.0712
896.484,-0.0710
897.949,-0.0709
899.414,-0.0708
900.879,-0.0706
902.344,-0.0706
903.809,-0.0706
905.273,-0.0706
906.738,-0.0708
908.203,-0.0710
909.668,-0.0713
911.133,-0.0715
912.598,-0.0720
914.062,-0.0726
915.527,-0.0729
916.992,-0.0735
918.457,-0.0740
919.922,-0.0745
921.387,-0.0749
922.852,-0.0754
924.316,-0.0757
925.781,-0.0761
927.246,-0.0764
928.711,-0.0766
930.176,-0.0768
931.641,-0.0767
933.105,-0.0767
934.570,-0.0767
936.035,-0.0767
937.500,-0.0765
938.965,-0.0764
940.430,-0.0762
941.895,-0.0760
943.359,-0.0758
944.824,-0.0756
946.289,-0.0753
947.754,-0.0751
949.219,-0.0749
950.684,-0.0746
952.148,-0.0743
953.613,-0.0741
955.078,-0.0738
956.543,-0.0736
958.008,-0.0734
959.473,-0.0732
960.938,-0.0729
962.402,-0.0726
963.867,-0.0724
965.332,-0.0722
966.797,-0.0719
968.262,-0.0717
969.727,-0.0714
971.191,-0.0713
972.656,-0.0711
974.121,-0.0709
975.586,-0.0708
977.051,-0.0707
978.516,-0.0705
979.980,-0.0704
981.445,-0.0705
982.910,-0.0707
984.375,-0.0708
985.840,-0.0709
987.305,-0.0712
988.770,-0.0715
990.234,-0.0718
991.699,-0.0722
993.164,-0.0727
994.629,-0.0731
996.094,-0.0735
997.559,-0.0740
999.023,-0.0746
1000.488,-0.0749
1001.953,-0.0753
1003.418,-0.0757
1004.883,-0.0759
1006.348,-0.0761
1007.812,-0.0763
1009.277,-0.0764
1010.742,-0.0764
1012.207,-0.0764
1013.672,-0.0765
1015.137,-0.0765
1016.602,-0.0764
1018.066,-0.0762
1019.531,-0.0761
1020.996,-0.0759
1022.461,-0.0757
1023.926,-0.0756
1025.391,-0.0753
1026.855,-0.0752
1028.320,-0.0750
1029.785,-0.0748
1031.250,-0.0745
1032.715,-0.0742
1034.180,-0.0740
1035.645,-0.0739
1037.109,-0.0736
1038.574,-0.0733
1040.039,-0.0732
1041.504,-0.0729
1042.969,-0.0727
1044.434,-0.0725
1045.898,-0.0722
1047.363,-0.0720
1048.828,-0.0718
1050.293,-0.0716
1051.758,-0.0714
1053.223,-0.0712
1054.688,-0.0711
1056.152,-0.0708
1057.617,-0.0706
1059.082,-0.0706
