freq_hz,gain_dB,coherence
575.684,-10.7138,1.0000
577.148,-10.7172,1.0000
578.613,-10.7212,1.0000
580.078,-10.7256,1.0000
581.543,-10.7301,1.0000
583.008,-10.7348,1.0000
584.473,-10.7396,1.0000
585.938,-10.7446,1.0000
587.402,-10.7495,1.0000
588.867,-10.7544,1.0000
590.332,-10.7591,1.0000
591.797,-10.7633,1.0000
593.262,-10.7671,1.0000
594.727,-10.7705,1.0000
596.191,-10.7732,1.0000
597.656,-10.7753,1.0000
599.121,-10.7763,1.0000
600.586,-10.7763,1.0000
602.051,-10.7753,0.9999
603.516,-10.7724,0.9999
604.980,-10.7676,0.9999
606.445,-10.7610,0.9999
607.910,-10.7530,0.9999
609.375,-10.7442,0.9999
610.840,-10.7352,0.9999
612.305,-10.7267,0.9999
613.770,-10.7197,0.9999
615.234,-10.7142,0.9999
616.699,-10.7103,0.9999
618.164,-10.7084,0.9999
619.629,-10.7084,1.0000
621.094,-10.7091,1.0000
622.559,-10.7109,1.0000
624.023,-10.7135,1.0000
625.488,-10.7166,1.0000
626.953,-10.7206,1.0000
628.418,-10.7247,1.0000
629.883,-10.7290,1.0000
631.348,-10.7333,1.0000
632.812,-10.7375,1.0000
634.277,-10.7415,1.0000
635.742,-10.7453,1.0000
637.207,-10.7493,1.0000
638.672,-10.7532,1.0000
640.137,-10.7571,1.0000
641.602,-10.7605,1.0000
643.066,-10.7639,1.0000
644.531,-10.7670,1.0000
645.996,-10.7698,1.0000
647.461,-10.7718,1.0000
648.926,-10.7729,1.0000
650.391,-10.7735,1.0000
651.855,-10.7730,1.0000
653.320,-10.7714,0.9999
654.785,-10.7687,0.9999
656.250,-10.7643,0.9999
657.715,-10.7586,0.9999
659.180,-10.7525,0.9999
660.645,-10.7455,0.9999
662.109,-10.7376,0.9999
663.574,-10.7301,0.9999
665.039,-10.7238,0.9999
666.504,-10.7186,0.9999
667.969,-10.7142,0.9999
669.434,-10.7114,0.9999
670.898,-10.7103,0.9999
672.363,-10.7103,1.0000
673.828,-10.7112,1.0000
675.293,-10.7128,1.0000
676.758,-10.7147,1.0000
678.223,-10.7172,1.0000
679.688,-10.7200,1.0000
681.152,-10.7230,1.0000
682.617,-10.7266,1.0000
684.082,-10.7301,1.0000
685.547,-10.7335,1.0000
687.012,-10.7368,1.0000
688.477,-10.7403,1.0000
689.941,-10.7438,1.0000
691.406,-10.7472,1.0000
692.871,-10.7505,1.0000
694.336,-10.7536,1.0000
695.801,-10.7566,1.0000
697.266,-10.7594,1.0000
698.730,-10.7619,1.0000
700.195,-10.7645,1.0000
701.660,-10.7664,1.0000
703.125,-10.7683,1.0000
